Packer,Malware,No_malware,percent
D1S1Gv11betaD1N,47,0,100
FSGv20bartxt,4,0,100
FSGv20,5,0,100
PureBasic4xNeilHodgson,62,0,100
PolyCryptPE214b215JLabSoftwareCreationshoep,1,0,100
PolyCryptPE214b215JLabSoftwareCreationshsigned,1,0,100
PEPaCKv10CCopyright1998byANAKiN,3,0,100
MoleBoxv254Teggo,1,0,100
MoleBoxv20,6,0,100
EXECryptorV21Xsoftcompletecom,3,0,100
tElock09910privatetE,3,0,100
Armadillo3X5XSiliconRealmsToolworks,1,0,100
Armadillov430v440SiliconRealmsToolworks,1,0,100
PESpinv04x,1,0,100
StelthPE101BGCorp,17,0,100
Upackv039finalDwing,10,0,100
UpackV037Dwing,8,0,100
MaskPEV20yzkzero,1,0,100
Elanguage,2,0,100
MEW11SEv12NorthfoxHCC,5,0,100
Mew11SEv12EngNorthfox,5,0,100
PEXv099,1,0,100
tElockv099,1,0,100
tElockv098,2,0,100
tElockv098tE,2,0,100
tElock098tE,2,0,100
PolyEnEV001LennartHedlund,1,0,100
PellesC300400450EXEX86CRTLIB,10,0,100
ThemidaWinLicenseV1XNoCompressionSecureEngineOreansTechnologies,1,0,100
XtremeProtectorv105,2,0,100
Themida10xx18xxnocompressionOreansTechnologies,1,0,100
PENinja,5,0,100
NTkrnlSecureSuiteNTkrnlteam,2,0,100
NTkrnlSecureSuite01015NTkrnlSoftware,2,0,100
NTKrnlPackerAshkbizDanehkar,2,0,100
ThemidaWinLicenseV1802OreansTechnologies,1,0,100
Themida18xxOreansTechnologies,1,0,100
AsCryptv01SToRM5,8,0,100
eXPressorv13CGSoftLabs,3,0,100
eXPressorV13CGSoftLabs,1,0,100
StarForceV3XDLLStarForceCopyProtectionSystem,1,0,100
ASProtectv12AlexeySolodovnikovh1,1,0,100
PECompact2xxSlimLoaderBitSumTechnologies,1,0,100
nSpackV2xLiuXingPing,2,0,100
NsPackV2XLiuXingPing,1,0,100
NsPackv23NorthStar,1,0,100
Packmanv10BrandonLaCombe,1,0,100
PackmanV10BrandonLaCombe,1,0,100
NsPacKV37LiuXingPing,1,0,100
PEArmor04600759hying,7,0,100
PCShrinkerv071,1,0,100
PCShrinkv040b,1,0,100
EnigmaProtector1XSukhovVladimirSergeNMarkin,2,0,100
ASProtectSKE21xexeAlexeySolodovnikov,1,0,100
EnigmaProtector11X13XSukhovVladimirSergeNMarkin,2,0,100
WinUpackv039finalrelocatedimagebaseByDwingc2005h2,2,0,100
Upack_PatchoranyVersionDwing,2,0,100
MEW11SEv11,1,0,100
CExev10a,1,0,100
InstallAnywhere61ZeroGSoftwareInc,2,0,100
Upackv0399Dwing,1,0,100
WinUpackv030betaByDwing,1,0,100
NsPack14byNorthStarLiuXingPing,1,0,100
NsPack14Liuxingping,1,0,100
NsPackV14LiuXingPing,1,0,100
MicroJoiner17coban2k,1,0,100
EXECryptor2223compressedcodewwwstrongbitcom,1,0,100
EXECryptor224StrongbitSoftCompleteDevelopmenth2,1,0,100
EXECryptor224StrongbitSoftCompleteDevelopmenth3,1,0,100
EXECryptor2xxmaxcompressedresources,1,0,100
EXECryptor2223protectedIAT,1,0,100
WinRAR32bitSFXModule,1,0,100
MoleBoxV23XMoleStudiocom,2,0,100
UPX050070,1,0,100
YodasProtectorv1032Beta2AshkbizDanehkar,1,0,100
yodasProtector102103AshkbizDanehkar,1,0,100
yodasProtectorV1032AshkbizDanehkar,1,0,100
yodasProtector102AshkibizDanehlar,1,0,100
Morphinev27Holy_FatherRatter29A,3,0,100
NSPack3xLiuXingPing,3,0,100
NsPacKV36LiuXingPing,1,0,100
ACProtect14xRISCOsoft,2,0,100
ACProtectUltraProtect10X20XRiSco,2,0,100
ACProtectV20risco,1,0,100
ACProtectv135riscosoftwareIncAnticrackSoftware,2,0,100
Obsiduim1304ObsiduimSoftware,1,0,100
ObsidiumV1304ObsidiumSoftware,1,0,100
Obsidiumv1304ObsidiumSoftware,1,0,100
PeX099bartCrackPl,1,0,100
PeXv099EngbartCrackPl,1,0,100
ASPackv211dAlexeySolodovnikov,1,0,100
ASPackv211cAlexeySolodovnikov,1,0,100
EZIPv10,1,0,100
eXPressorPacK150XCGSoftLabs,1,0,100
BJFntv11b,1,0,100
PseudoSigner02BJFNT11bAnorganix,1,0,100
NsPacKV31LiuXingPing,1,0,100
NsPackv31NorthStar,1,0,100
ASPackv10803AlexeySolodovnikov,1,0,100
yodasProtectorV1033AshkbizDanehkar,1,0,100
yodasProtectorv1033exescrcomAshkbizDanehkar,1,0,100
PEPACKv10byANAKiN1998,1,0,100
NsPacKV34V35LiuXingPing,2,0,100
NsPack34NorthStar,2,0,100
eXcaliburv103forgotus,1,0,100
hyingsPEArmorV076hying,1,0,100
ExcaliburV103forgot,1,0,100
Excalibur103forgot,1,0,100
CrunchPEv30xx,1,0,100
CrunchPEv40,1,0,100
Crunchv40,1,0,100
PEBundlev244,1,0,100
EXEShieldv01bv03bv03SMoKE,1,0,100
RLPackFullEditionV11Xap0x,1,0,100
y0dasCrypterv1xModified,1,0,100
y0dasCrypterv12,1,0,100
ExeJoiner10Yodaf2f,1,0,100
ExeJoinerV10Yodaf2f,1,0,100
ExeJoiner10Yoda,1,0,100
dUP2xPatcherwwwdiablo2oo2cjbnet,1,0,100
PureBasicDLLNeilHodgson,1,0,100
PureBasic4xDLLNeilHodgson,1,0,100
NsPack29NorthStar,1,0,100
ASPackv2000AlexeySolodovnikov,1,0,100
PECompactv14x,1,0,100
Upackv029Betav031BetaDwing,1,0,100
UPX20030XMarkusOberhumerLaszloMolnarJohnReiser,483,16,96.79358717
BobSoftMiniDelphiBoBBobSoft,558,24,95.87628866
ASPackv212AlexeySolodovnikov,74,6,92.5
ASProtectV2XDLLAlexeySolodovnikov,74,6,92.5
UPX290LZMAMarkusOberhumerLaszloMolnarJohnReiser,407,34,92.29024943
PellesC28x45xPelleOrinius,10,1,90.90909091
UPXv20MarkusLaszloReiser,735,84,89.74358974
NETexecutableMicrosoft,1065,151,87.58223684
UPXV200V290MarkusOberhumerLaszloMolnarJohnReiser,861,145,85.58648111
MinGWGCC3x,164,32,83.67346939
NETDLLMicrosoft,425,83,83.66141732
PECompactv2xx,67,14,82.71604938
PECompactV2XBitsumTechnologies,60,13,82.19178082
PECompact2xxBitSumTechnologies,59,13,81.94444444
ProtectSharewareV11eCompservCMS,52,13,80
MicrosoftVisualCV80Debug,43,11,79.62962963
UPX293300LZMAMarkusOberhumerLaszloMolnarJohnReiser,163,46,77.99043062
UPXProtectorv10x2,217,88,71.14754098
ASProtect13321RegisteredAlexeySolodovnikov,13,6,68.42105263
ASProtectv12xNewStrain,13,6,68.42105263
ASProtectv123RC1,12,6,66.66666667
DevC4992BloodshedSoftware,2,1,66.66666667
Armadillov171,641,359,64.1
DevCv5,5,3,62.5
DevCv4,3,2,60
WARNINGTROJANHuiGeZi,1,1,50
VideoLanClient,4,4,50
ASPackv21AlexeySolodovnikov,1,1,50
FreeBASIC016b,1,2,33.33333333
VideoLanClientUnknownCompiler,1,2,33.33333333
Armadillov1xxv2xx,28,70,28.57142857
InstallShield2000,14,40,25.92592593
InnoSetupModule,1,12,7.692307692
WiseInstallerStub,0,7,0
MacromediaWindowsFlashProjectorPlayerv60,0,1,0
WinZip32bitSFXv8xmodule,0,10,0
MacromediaWindowsFlashProjectorPlayerv50,0,2,0
PKLITE32v11,0,2,0
PKLITE3211PKWAREInc,0,1,0
InnoSetupModulev304betav306v307,0,2,0
InstallStub32bit,0,1,0
MetrowerksCodeWarriorv20GUI,0,1,0
WinZip32bitSFXv6xmodule,0,1,0
PEtitevxx,0,7,0
Petitev14,0,7,0
NSISInstallerNullSoft,0,2,0
MSVisualCv8DLLhsmallsig2,0,4,0
NullsoftInstallSystemv20b2v20b3,0,2,0
InstallShieldCustom,0,1,0
MacromediaWindowsFlashProjectorPlayerv30,0,1,0
NullsoftInstallSystemv20,0,3,0
CreateInstallv200335,0,1,0
NullsoftInstallSystemv20RC2,0,1,0
NeoLitev20,0,1,0
Armadillov285,0,1,0
NullsoftInstallSystemv20b4,0,1,0
InnoSetupModulev2018,0,2,0
SafeDiscv4,0,1,0
